instance_file,solution_file,number_of_trolleys,number_of_boxes,total_distance
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132620_Z1.txt,..\data\solutions\instance_0203_132620_Z1_sol.txt,14,81,4556.6
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132620_Z2.txt,..\data\solutions\instance_0203_132620_Z2_sol.txt,12,69,3880.3
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132621_Z1.txt,..\data\solutions\instance_0203_132621_Z1_sol.txt,19,111,6227.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132621_Z2.txt,..\data\solutions\instance_0203_132621_Z2_sol.txt,19,112,5708.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132622_Z1.txt,..\data\solutions\instance_0203_132622_Z1_sol.txt,5,27,1725.5
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132622_Z2.txt,..\data\solutions\instance_0203_132622_Z2_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132623_Z1.txt,..\data\solutions\instance_0203_132623_Z1_sol.txt,34,202,11091.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132623_Z2.txt,..\data\solutions\instance_0203_132623_Z2_sol.txt,30,179,9091.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0214_132873_Z1.txt,..\data\solutions\instance_0214_132873_Z1_sol.txt,4,19,1165.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0214_132873_Z2.txt,..\data\solutions\instance_0214_132873_Z2_sol.txt,4,22,1122.5
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0214_132877_Z1.txt,..\data\solutions\instance_0214_132877_Z1_sol.txt,11,64,3357.5
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0214_132877_Z2.txt,..\data\solutions\instance_0214_132877_Z2_sol.txt,16,92,4460.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0214_132879_Z1.txt,..\data\solutions\instance_0214_132879_Z1_sol.txt,2,10,571.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0214_132879_Z2.txt,..\data\solutions\instance_0214_132879_Z2_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0214_132880_Z1.txt,..\data\solutions\instance_0214_132880_Z1_sol.txt,24,142,7650.6
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0214_132880_Z2.txt,..\data\solutions\instance_0214_132880_Z2_sol.txt,32,187,9483.5
