instance_file,solution_file,number_of_trolleys,number_of_boxes,total_distance
instance_0606_136188_Z1.txt,instance_0606_136188_Z1_sol.txt,34,200,13573
instance_0606_136188_Z2.txt,instance_0606_136188_Z2_sol.txt,41,241,15467.2
instance_0606_136189_Z1.txt,instance_0606_136189_Z1_sol.txt,30,176,12312.9
instance_0606_136189_Z2.txt,instance_0606_136189_Z2_sol.txt,33,193,12931.1
instance_0606_136190_Z1.txt,instance_0606_136190_Z1_sol.txt,42,249,17247.9
instance_0606_136190_Z2.txt,instance_0606_136190_Z2_sol.txt,50,298,20198
instance_0606_136191_Z1.txt,instance_0606_136191_Z1_sol.txt,10,57,3220
instance_0606_136191_Z2.txt,instance_0606_136191_Z2_sol.txt,12,72,3409.7
instance_0606_136192_Z1.txt,instance_0606_136192_Z1_sol.txt,71,423,28891.1
instance_0606_136192_Z2.txt,instance_0606_136192_Z2_sol.txt,78,466,31082.2
instance_0606_136193_Z1.txt,instance_0606_136193_Z1_sol.txt,12,70,2961.2
instance_0606_136193_Z2.txt,instance_0606_136193_Z2_sol.txt,-1,-1,-1
instance_0606_136194_Z1.txt,instance_0606_136194_Z1_sol.txt,5,28,1876.4
instance_0606_136194_Z2.txt,instance_0606_136194_Z2_sol.txt,3,18,1225.1
instance_0606_136195_Z1.txt,instance_0606_136195_Z1_sol.txt,8,45,2819.6
instance_0606_136195_Z2.txt,instance_0606_136195_Z2_sol.txt,9,52,3423.5
instance_0606_136213_Z1.txt,instance_0606_136213_Z1_sol.txt,2,9,484.1
instance_0606_136213_Z2.txt,instance_0606_136213_Z2_sol.txt,2,11,623.5
instance_0925_139697_Z1.txt,instance_0925_139697_Z1_sol.txt,4,23,1613.2
instance_0925_139697_Z2.txt,instance_0925_139697_Z2_sol.txt,5,28,1830.1
instance_0925_139700_Z1.txt,instance_0925_139700_Z1_sol.txt,17,99,6764.9
instance_0925_139700_Z2.txt,instance_0925_139700_Z2_sol.txt,17,100,6739.5
instance_0925_139704_Z1.txt,instance_0925_139704_Z1_sol.txt,4,19,1270.9
instance_0925_139704_Z2.txt,instance_0925_139704_Z2_sol.txt,4,21,1473
instance_0925_139706_Z1.txt,instance_0925_139706_Z1_sol.txt,39,232,15255.3
instance_0925_139706_Z2.txt,instance_0925_139706_Z2_sol.txt,41,244,15730
instance_0925_139711_Z1.txt,instance_0925_139711_Z1_sol.txt,-1,-1,-1
instance_0925_139711_Z2.txt,instance_0925_139711_Z2_sol.txt,7,41,2705.3
instance_0925_139713_Z1.txt,instance_0925_139713_Z1_sol.txt,2,9,761.9
instance_0925_139713_Z2.txt,instance_0925_139713_Z2_sol.txt,2,11,815.1
instance_0925_139716_Z1.txt,instance_0925_139716_Z1_sol.txt,4,19,1318.4
instance_0925_139716_Z2.txt,instance_0925_139716_Z2_sol.txt,4,21,1477.1
instance_0925_139718_Z1.txt,instance_0925_139718_Z1_sol.txt,-1,-1,-1
instance_0925_139718_Z2.txt,instance_0925_139718_Z2_sol.txt,27,162,10255.4
instance_0925_139720_Z1.txt,instance_0925_139720_Z1_sol.txt,20,119,7975.1
instance_0925_139720_Z2.txt,instance_0925_139720_Z2_sol.txt,20,115,7751.3
instance_0925_139721_Z1.txt,instance_0925_139721_Z1_sol.txt,7,42,2771.8
instance_0925_139721_Z2.txt,instance_0925_139721_Z2_sol.txt,9,49,3107.5
instance_0925_139722_Z1.txt,instance_0925_139722_Z1_sol.txt,4,22,1514.8
instance_0925_139722_Z2.txt,instance_0925_139722_Z2_sol.txt,-1,-1,-1
instance_0925_139723_Z1.txt,instance_0925_139723_Z1_sol.txt,28,165,10813.6
instance_0925_139723_Z2.txt,instance_0925_139723_Z2_sol.txt,28,166,10535.4
